,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
152,"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.5,40.3,44.8,40.3 - 44.8,
153,"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,Apr 23 - May 5,2020-04-23,2020-05-05,37.8,34.5,41.2,34.5 - 41.2,
154,"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,Apr 23 - May 5,2020-04-23,2020-05-05,49.2,45.6,52.8,45.6 - 52.8,
155,"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,40.9,36.0,46.0,36.0 - 46.0,
156,"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,High school diploma or GED,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,39.4,38.0,40.8,38.0 - 40.8,
157,"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,44.7,43.6,45.9,43.6 - 45.9,
158,"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,47.6,46.7,48.5,46.7 - 48.5,
159,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alabama,Alabama,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.0,36.8,47.3,36.8 - 47.3,33.2 - 42.1
160,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alaska,Alaska,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,46.8,42.8,50.8,42.8 - 50.8,46.0 - 49.2
161,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arizona,Arizona,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.3,38.9,45.7,38.9 - 45.7,42.2 - 43.7
162,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arkansas,Arkansas,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,43.6,37.7,49.7,37.7 - 49.7,42.2 - 43.7
163,"Delayed or Did Not Get Care, Last 4 Weeks",By State,California,California,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,44.4,41.1,47.8,41.1 - 47.8,43.8 - 45.9
164,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Colorado,Colorado,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,46.0,42.6,49.5,42.6 - 49.5,46.0 - 49.2
165,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Connecticut,Connecticut,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.6,38.5,46.9,38.5 - 46.9,42.2 - 43.7
166,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Delaware,Delaware,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,41.4,36.2,46.8,36.2 - 46.8,33.2 - 42.1
167,"Delayed or Did Not Get Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,47.0,41.3,52.7,41.3 - 52.7,46.0 - 49.2
168,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Florida,Florida,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,44.9,41.8,48.0,41.8 - 48.0,43.8 - 45.9
169,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Georgia,Georgia,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,45.9,42.0,49.7,42.0 - 49.7,43.8 - 45.9
170,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Hawaii,Hawaii,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,41.2,36.1,46.4,36.1 - 46.4,33.2 - 42.1
171,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Idaho,Idaho,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,38.8,34.7,43.0,34.7 - 43.0,33.2 - 42.1
172,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Illinois,Illinois,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.5,39.5,45.6,39.5 - 45.6,42.2 - 43.7
173,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Indiana,Indiana,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,39.4,35.1,43.9,35.1 - 43.9,33.2 - 42.1
174,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Iowa,Iowa,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,40.0,34.3,45.8,34.3 - 45.8,33.2 - 42.1
175,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kansas,Kansas,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,40.0,34.9,45.2,34.9 - 45.2,33.2 - 42.1
176,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kentucky,Kentucky,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.9,37.8,48.1,37.8 - 48.1,42.2 - 43.7
177,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Louisiana,Louisiana,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,46.2,41.0,51.4,41.0 - 51.4,46.0 - 49.2
178,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maine,Maine,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,45.8,41.4,50.4,41.4 - 50.4,43.8 - 45.9
179,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maryland,Maryland,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,49.2,45.0,53.4,45.0 - 53.4,46.0 - 49.2
180,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.8,39.4,46.3,39.4 - 46.3,42.2 - 43.7
181,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Michigan,Michigan,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,44.6,41.3,48.0,41.3 - 48.0,43.8 - 45.9
182,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Minnesota,Minnesota,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,45.2,41.3,49.1,41.3 - 49.1,43.8 - 45.9
183,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Mississippi,Mississippi,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,39.6,34.9,44.6,34.9 - 44.6,33.2 - 42.1
184,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Missouri,Missouri,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,43.7,39.1,48.4,39.1 - 48.4,42.2 - 43.7
185,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Montana,Montana,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,46.0,40.4,51.7,40.4 - 51.7,46.0 - 49.2
186,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nebraska,Nebraska,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,38.5,33.5,43.7,33.5 - 43.7,33.2 - 42.1
187,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nevada,Nevada,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,46.2,41.5,51.0,41.5 - 51.0,46.0 - 49.2
188,"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,43.2,39.6,47.0,39.6 - 47.0,42.2 - 43.7
189,"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Jersey,New Jersey,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,43.0,38.5,47.7,38.5 - 47.7,42.2 - 43.7
190,"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Mexico,New Mexico,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,44.1,38.8,49.6,38.8 - 49.6,43.8 - 45.9
191,"Delayed or Did Not Get Care, Last 4 Weeks",By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,45.2,41.6,48.8,41.6 - 48.8,43.8 - 45.9
192,"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Carolina,North Carolina,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,40.1,36.5,43.7,36.5 - 43.7,33.2 - 42.1
193,"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Dakota,North Dakota,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,33.2,28.6,38.0,28.6 - 38.0,33.2 - 42.1
194,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Ohio,Ohio,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.1,38.0,46.3,38.0 - 46.3,33.2 - 42.1
195,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,46.6,41.2,52.1,41.2 - 52.1,46.0 - 49.2
196,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oregon,Oregon,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,47.4,43.3,51.4,43.3 - 51.4,46.0 - 49.2
197,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.9,39.5,46.4,39.5 - 46.4,42.2 - 43.7
198,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,44.2,38.9,49.6,38.9 - 49.6,43.8 - 45.9
199,"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Carolina,South Carolina,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,44.6,39.7,49.6,39.7 - 49.6,43.8 - 45.9
200,"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Dakota,South Dakota,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,45.5,39.3,51.9,39.3 - 51.9,43.8 - 45.9
201,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Tennessee,Tennessee,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,42.9,38.6,47.2,38.6 - 47.2,42.2 - 43.7
202,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Texas,Texas,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,40.6,37.2,44.0,37.2 - 44.0,33.2 - 42.1
203,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Utah,Utah,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,43.3,39.2,47.4,39.2 - 47.4,42.2 - 43.7
204,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Vermont,Vermont,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,48.5,43.8,53.2,43.8 - 53.2,46.0 - 49.2
205,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Virginia,Virginia,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,47.0,43.3,50.8,43.3 - 50.8,46.0 - 49.2
206,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Washington,Washington,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,47.7,44.7,50.8,44.7 - 50.8,46.0 - 49.2
207,"Delayed or Did Not Get Care, Last 4 Weeks",By State,West Virginia,West Virginia,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,43.7,38.4,49.0,38.4 - 49.0,42.2 - 43.7
208,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,45.3,41.7,49.0,41.7 - 49.0,43.8 - 45.9
209,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wyoming,Wyoming,1,1,Apr 23 - May 5,2020-04-23,2020-05-05,39.3,34.3,44.5,34.3 - 44.5,33.2 - 42.1
350,"Delayed or Did Not Get Care, Last 4 Weeks",National Estimate,United States,United States,1,2,May 7 - May 12,2020-05-07,2020-05-12,45.5,44.4,46.7,44.4 - 46.7,
351,"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,18 - 29 years,1,2,May 7 - May 12,2020-05-07,2020-05-12,43.4,39.3,47.6,39.3 - 47.6,
352,"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,30 - 39 years,1,2,May 7 - May 12,2020-05-07,2020-05-12,45.1,42.9,47.2,42.9 - 47.2,
353,"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,40 - 49 years,1,2,May 7 - May 12,2020-05-07,2020-05-12,46.8,44.5,49.1,44.5 - 49.1,
354,"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,50 - 59 years,1,2,May 7 - May 12,2020-05-07,2020-05-12,49.5,47.0,52.1,47.0 - 52.1,
355,"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,60 - 69 years,1,2,May 7 - May 12,2020-05-07,2020-05-12,44.2,41.3,47.1,41.3 - 47.1,
356,"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,70 - 79 years,1,2,May 7 - May 12,2020-05-07,2020-05-12,41.3,38.6,44.0,38.6 - 44.0,
357,"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,80 years and above,1,2,May 7 - May 12,2020-05-07,2020-05-12,47.8,42.2,53.5,42.2 - 53.5,
358,"Delayed or Did Not Get Care, Last 4 Weeks",By Sex,United States,Male,1,2,May 7 - May 12,2020-05-07,2020-05-12,42.2,40.4,44.1,40.4 - 44.1,
359,"Delayed or Did Not Get Care, Last 4 Weeks",By Sex,United States,Female,1,2,May 7 - May 12,2020-05-07,2020-05-12,48.7,47.5,49.8,47.5 - 49.8,
360,"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,2,May 7 - May 12,2020-05-07,2020-05-12,40.7,36.5,44.9,36.5 - 44.9,
361,"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,2,May 7 - May 12,2020-05-07,2020-05-12,46.4,45.4,47.3,45.4 - 47.3,
362,"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,2,May 7 - May 12,2020-05-07,2020-05-12,48.7,44.5,52.9,44.5 - 52.9,
363,"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,2,May 7 - May 12,2020-05-07,2020-05-12,37.1,32.0,42.4,32.0 - 42.4,
364,"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,2,May 7 - May 12,2020-05-07,2020-05-12,56.2,50.9,61.5,50.9 - 61.5,
365,"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,1,2,May 7 - May 12,2020-05-07,2020-05-12,38.1,31.9,44.5,31.9 - 44.5,
366,"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,High school diploma or GED,1,2,May 7 - May 12,2020-05-07,2020-05-12,40.7,38.1,43.3,38.1 - 43.3,
367,"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,1,2,May 7 - May 12,2020-05-07,2020-05-12,48.6,46.8,50.5,46.8 - 50.5,
368,"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,1,2,May 7 - May 12,2020-05-07,2020-05-12,48.9,47.7,50.1,47.7 - 50.1,
369,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alabama,Alabama,1,2,May 7 - May 12,2020-05-07,2020-05-12,44.4,36.3,52.8,36.3 - 52.8,43.6 - 45.8
370,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alaska,Alaska,1,2,May 7 - May 12,2020-05-07,2020-05-12,47.6,42.4,52.8,42.4 - 52.8,45.9 - 48.5
371,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arizona,Arizona,1,2,May 7 - May 12,2020-05-07,2020-05-12,50.9,45.0,56.9,45.0 - 56.9,48.6 - 56.5
372,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arkansas,Arkansas,1,2,May 7 - May 12,2020-05-07,2020-05-12,43.2,35.6,51.0,35.6 - 51.0,39.2 - 43.5
373,"Delayed or Did Not Get Care, Last 4 Weeks",By State,California,California,1,2,May 7 - May 12,2020-05-07,2020-05-12,42.5,38.2,46.8,38.2 - 46.8,39.2 - 43.5
374,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Colorado,Colorado,1,2,May 7 - May 12,2020-05-07,2020-05-12,46.7,40.1,53.4,40.1 - 53.4,45.9 - 48.5
375,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Connecticut,Connecticut,1,2,May 7 - May 12,2020-05-07,2020-05-12,45.5,37.6,53.7,37.6 - 53.7,43.6 - 45.8
376,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Delaware,Delaware,1,2,May 7 - May 12,2020-05-07,2020-05-12,43.1,36.3,50.1,36.3 - 50.1,39.2 - 43.5
377,"Delayed or Did Not Get Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,1,2,May 7 - May 12,2020-05-07,2020-05-12,46.0,38.6,53.5,38.6 - 53.5,45.9 - 48.5
378,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Florida,Florida,1,2,May 7 - May 12,2020-05-07,2020-05-12,44.5,39.2,49.8,39.2 - 49.8,43.6 - 45.8
379,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Georgia,Georgia,1,2,May 7 - May 12,2020-05-07,2020-05-12,53.0,46.5,59.3,46.5 - 59.3,48.6 - 56.5
380,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Hawaii,Hawaii,1,2,May 7 - May 12,2020-05-07,2020-05-12,43.8,35.9,51.9,35.9 - 51.9,43.6 - 45.8
381,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Idaho,Idaho,1,2,May 7 - May 12,2020-05-07,2020-05-12,39.8,34.3,45.4,34.3 - 45.4,39.2 - 43.5
382,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Illinois,Illinois,1,2,May 7 - May 12,2020-05-07,2020-05-12,45.8,40.0,51.6,40.0 - 51.6,43.6 - 45.8
383,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Indiana,Indiana,1,2,May 7 - May 12,2020-05-07,2020-05-12,48.9,42.9,54.9,42.9 - 54.9,48.6 - 56.5
384,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Iowa,Iowa,1,2,May 7 - May 12,2020-05-07,2020-05-12,42.9,37.0,48.9,37.0 - 48.9,39.2 - 43.5
385,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kansas,Kansas,1,2,May 7 - May 12,2020-05-07,2020-05-12,40.1,33.3,47.3,33.3 - 47.3,39.2 - 43.5
386,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kentucky,Kentucky,1,2,May 7 - May 12,2020-05-07,2020-05-12,48.1,42.1,54.1,42.1 - 54.1,45.9 - 48.5
387,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Louisiana,Louisiana,1,2,May 7 - May 12,2020-05-07,2020-05-12,50.0,41.9,58.2,41.9 - 58.2,48.6 - 56.5
388,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maine,Maine,1,2,May 7 - May 12,2020-05-07,2020-05-12,50.7,43.2,58.2,43.2 - 58.2,48.6 - 56.5
389,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maryland,Maryland,1,2,May 7 - May 12,2020-05-07,2020-05-12,44.5,39.0,50.1,39.0 - 50.1,43.6 - 45.8
390,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,1,2,May 7 - May 12,2020-05-07,2020-05-12,42.2,38.7,45.7,38.7 - 45.7,39.2 - 43.5
391,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Michigan,Michigan,1,2,May 7 - May 12,2020-05-07,2020-05-12,44.8,40.1,49.6,40.1 - 49.6,43.6 - 45.8
392,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Minnesota,Minnesota,1,2,May 7 - May 12,2020-05-07,2020-05-12,47.3,41.8,52.9,41.8 - 52.9,45.9 - 48.5
393,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Mississippi,Mississippi,1,2,May 7 - May 12,2020-05-07,2020-05-12,41.0,34.4,47.8,34.4 - 47.8,39.2 - 43.5
394,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Missouri,Missouri,1,2,May 7 - May 12,2020-05-07,2020-05-12,41.0,35.3,46.9,35.3 - 46.9,39.2 - 43.5
395,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Montana,Montana,1,2,May 7 - May 12,2020-05-07,2020-05-12,53.8,47.5,60.1,47.5 - 60.1,48.6 - 56.5
396,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nebraska,Nebraska,1,2,May 7 - May 12,2020-05-07,2020-05-12,48.8,42.6,55.1,42.6 - 55.1,48.6 - 56.5
397,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nevada,Nevada,1,2,May 7 - May 12,2020-05-07,2020-05-12,49.4,41.9,56.8,41.9 - 56.8,48.6 - 56.5
398,"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,1,2,May 7 - May 12,2020-05-07,2020-05-12,46.0,40.0,52.1,40.0 - 52.1,45.9 - 48.5
399,"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Jersey,New Jersey,1,2,May 7 - May 12,2020-05-07,2020-05-12,48.8,42.8,54.8,42.8 - 54.8,48.6 - 56.5
400,"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Mexico,New Mexico,1,2,May 7 - May 12,2020-05-07,2020-05-12,45.8,36.8,54.9,36.8 - 54.9,43.6 - 45.8
401,"Delayed or Did Not Get Care, Last 4 Weeks",By State,New York,New York,1,2,May 7 - May 12,2020-05-07,2020-05-12,49.1,42.8,55.4,42.8 - 55.4,48.6 - 56.5
402,"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Carolina,North Carolina,1,2,May 7 - May 12,2020-05-07,2020-05-12,45.7,40.5,50.9,40.5 - 50.9,43.6 - 45.8
403,"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Dakota,North Dakota,1,2,May 7 - May 12,2020-05-07,2020-05-12,43.7,35.1,52.6,35.1 - 52.6,43.6 - 45.8
404,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Ohio,Ohio,1,2,May 7 - May 12,2020-05-07,2020-05-12,45.0,39.1,51.1,39.1 - 51.1,43.6 - 45.8
405,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,1,2,May 7 - May 12,2020-05-07,2020-05-12,41.3,34.1,48.8,34.1 - 48.8,39.2 - 43.5
406,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oregon,Oregon,1,2,May 7 - May 12,2020-05-07,2020-05-12,56.5,51.8,61.2,51.8 - 61.2,48.6 - 56.5
407,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,1,2,May 7 - May 12,2020-05-07,2020-05-12,45.9,40.4,51.5,40.4 - 51.5,45.9 - 48.5
408,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,1,2,May 7 - May 12,2020-05-07,2020-05-12,46.2,39.7,52.7,39.7 - 52.7,45.9 - 48.5
409,"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Carolina,South Carolina,1,2,May 7 - May 12,2020-05-07,2020-05-12,45.7,38.8,52.7,38.8 - 52.7,43.6 - 45.8
410,"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Dakota,South Dakota,1,2,May 7 - May 12,2020-05-07,2020-05-12,41.3,32.6,50.4,32.6 - 50.4,39.2 - 43.5
411,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Tennessee,Tennessee,1,2,May 7 - May 12,2020-05-07,2020-05-12,47.2,39.0,55.4,39.0 - 55.4,45.9 - 48.5
412,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Texas,Texas,1,2,May 7 - May 12,2020-05-07,2020-05-12,39.7,34.9,44.7,34.9 - 44.7,39.2 - 43.5
413,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Utah,Utah,1,2,May 7 - May 12,2020-05-07,2020-05-12,39.2,34.5,44.0,34.5 - 44.0,39.2 - 43.5
414,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Vermont,Vermont,1,2,May 7 - May 12,2020-05-07,2020-05-12,47.1,37.6,56.7,37.6 - 56.7,45.9 - 48.5
415,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Virginia,Virginia,1,2,May 7 - May 12,2020-05-07,2020-05-12,50.4,44.1,56.6,44.1 - 56.6,48.6 - 56.5
416,"Delayed or Did Not Get Care, Last 4 Weeks",By State,Washington,Washington,1,2,May 7 - May 12,2020-05-07,2020-05-12,50.9,46.4,55.5,46.4 - 55.5,48.6 - 56.5
417,"Delayed or Did Not Get Care, Last 4 Weeks",By State,West Virginia,West Virginia,1,2,May 7 - May 12,2020-05-07,2020-05-12,45.6,38.4,53.0,38.4 - 53.0,43.6 - 45.8
